time,q,w,ref,error,integral,torque_unsat,torque_cmd,load
0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.3
0.001,5.000000000000002e-06,0.005000000000000002,1.5707963267948966,1.5707913267948965,0.0015705304109784577,28.30095800583181,0.4,0.3
0.002,1.4980000000000006e-05,0.009980000000000003,1.5707963267948966,1.5707813467948966,0.00314222929511447,28.347424500350506,0.4,0.3
0.003,2.992008000000001e-05,0.014940080000000005,1.5707963267948966,1.5707664067148965,0.004712355749697249,28.344547297483963,0.4,0.3
0.004,4.980039968000002e-05,0.019880319680000008,1.5707963267948966,1.5707465263952165,0.0062823013588556905,28.366738896029055,0.4,0.3
0.005,7.460119808128003e-05,0.024800798401280008,1.5707963267948966,1.5707217255968153,0.00785475048464412,28.437322890268632,0.4,0.3
0.006,0.00010430279328895492,0.02970159520767489,1.5707963267948966,1.5706920240016076,0.009426608576233272,28.452216862047877,0.4,0.3
0.007,0.0001388855821157991,0.034582788826844194,1.5707963267948966,1.5706574412127807,0.010997189038437263,28.454750186191358,0.4,0.3
0.008,0.00017833003978733592,0.03944445767153682,1.5707963267948966,1.5706179967551093,0.012568122453373616,28.486664571329605,0.4,0.3
0.009000000000000001,0.0002226167196281866,0.044286679840850676,1.5707963267948966,1.5705737100752684,0.014138755111904554,28.50682960658915,0.4,0.3
0.01,0.00027172625274967386,0.049109533121487275,1.5707963267948966,1.570524600542147,0.01571007324323984,28.54478381309088,0.4,0.3
0.011,0.00032563934773867517,0.05391309498900133,1.5707963267948966,1.570470687447158,0.01727983042427715,28.54229442741135,0.4,0.3
0.012,0.00038433679034772047,0.058697442609045324,1.5707963267948966,1.5704119900045488,0.018849622360215874,28.56855158011453,0.4,0.3
0.013000000000000001,0.0004477994431863296,0.06346265283860915,1.5707963267948966,1.5703485273517102,0.02041997672756643,28.604341215730507,0.4,0.3
0.014,0.0005160082454135843,0.06820880222725471,1.5707963267948966,1.570280318549483,0.02198934155139185,28.61219847647912,0.4,0.3
0.015,0.00058894421243193,0.07293596701834569,1.5707963267948966,1.5702073825824647,0.023559213891076028,28.64703582946399,0.4,0.3
0.016,0.0006665884355822023,0.0776442231502723,1.5707963267948966,1.5701297383593145,0.02513017114779424,28.69231088346163,0.4,0.3
0.017,0.0007489220818398736,0.08233364625767121,1.5707963267948966,1.5700474047130566,0.026699979090388477,28.697369480723705,0.4,0.3
0.018000000000000002,0.0008359263935125141,0.08700431167264053,1.5707963267948966,1.569960400401384,0.02827086327802776,28.742532267558467,0.4,0.3
0.019,0.000927582687938464,0.09165629442594997,1.5707963267948966,1.569868744106958,0.0298400570859255,28.737884509870597,0.4,0.3
0.02,0.0010238723571867102,0.09628966924824617,1.5707963267948966,1.5697724544377099,0.0314099693986089,28.776633462962174,0.4,0.3
0.021,0.0011247768677579634,0.10090451057125319,1.5707963267948966,1.5696715499271385,0.03297990317589195,28.80285845151492,0.4,0.3
0.022,0.0012302777602869316,0.10550089252896817,1.5707963267948966,1.5695660490346097,0.03455016894894529,28.834701881253455,0.4,0.3
0.023,0.0013403566492457839,0.1100788889588523,1.5707963267948966,1.5694559701456507,0.03611866812939982,28.82875753973477,0.4,0.3
0.024,0.0014549952226488008,0.11463857340301689,1.5707963267948966,1.5693413315722478,0.03768825895195814,28.874305318338408,0.4,0.3
0.025,0.0015741752417582056,0.11918001910940483,1.5707963267948966,1.5692221515531384,0.03925797407006912,28.9024653193154,0.4,0.3
0.026000000000000002,0.0016978785407911728,0.12370329903296721,1.5707963267948966,1.5690984482541055,0.040827503516115395,28.925064076223997,0.4,0.3
0.027,0.001826087026628008,0.12820848583683536,1.5707963267948966,1.5689702397682685,0.04239613743697317,28.934889365339934,0.4,0.3
0.028,0.001958782678521496,0.13269565189348803,1.5707963267948966,1.568837544116375,0.04396478876663369,28.961169526217784,0.4,0.3
0.029,0.00209594754780741,0.1371648692859141,1.5707963267948966,1.568700379247089,0.04553326613359993,28.98402314579213,0.4,0.3
0.03,0.0022375637576161804,0.14161620980877043,1.5707963267948966,1.5685587630372804,0.04710159055059756,29.007273473826153,0.4,0.3
0.031,0.002383613502585716,0.14604974496953535,1.5707963267948966,1.568412713292311,0.048668280373532206,29.003842968523802,0.4,0.3
0.032,0.002534079048575373,0.15046554598965722,1.5707963267948966,1.5682622477463213,0.05023704775083279,29.06729405246372,0.4,0.3
0.033,0.0026889427323810717,0.1548636838056986,1.5707963267948966,1.5681073840625155,0.051805757014688696,29.092323234512495,0.4,0.3
0.034,0.0028481869614515477,0.1592442290704758,1.5707963267948966,1.567948139833445,0.05337457454942476,29.120370695670715,0.4,0.3
0.035,0.0030117942136057415,0.16360725215419392,1.5707963267948966,1.567784532581291,0.054941985145805776,29.12113736288993,0.4,0.3
0.036000000000000004,0.0031797470367513187,0.16795282314557713,1.5707963267948966,1.5676165797581452,0.05650878446420348,29.136234717857683,0.4,0.3
0.037,0.0033520280486043137,0.17228101185299483,1.5707963267948966,1.5674442987462922,0.058076500481877145,29.17887493998878,0.4,0.3
0.038,0.0035286199364098964,0.17659188780558285,1.5707963267948966,1.5672677068584866,0.05964467795546118,29.213350869398347,0.4,0.3
0.039,0.003709505456664257,0.18088552025436053,1.5707963267948966,1.5670868213382323,0.061212665157911406,29.236112681895477,0.4,0.3
0.04,0.0038946674348376,0.1851619781733431,1.5707963267948966,1.5669016593600589,0.06277918422993778,29.23586435676816,0.4,0.3
0.041,0.00408408876509825,0.18942133026064972,1.5707963267948966,1.5667122380297982,0.0643454372776745,29.257269231006525,0.4,0.3
0.042,0.004277752410037857,0.19366364493960714,1.5707963267948966,1.5665185743848586,0.06591167552418789,29.28321635141198,0.4,0.3
0.043000000000000003,0.004475641400397706,0.19788899035984872,1.5707963267948966,1.5663206853944989,0.06747877486535256,29.32496726434353,0.4,0.3
0.044,0.004677738834796116,0.20209743439840933,1.5707963267948966,1.5661185879601005,0.0690448929517729,29.33355662616965,0.4,0.3
0.045,0.004884027879456932,0.20628904466081568,1.5707963267948966,1.5659122989154397,0.070610909712155,29.358002959842942,0.4,0.3
0.046,0.005094491767939104,0.21046388848217243,1.5707963267948966,1.5657018350269574,0.07217663116926797,29.37897199782575,0.4,0.3
0.047,0.005309113800867348,0.21462203292824375,1.5707963267948966,1.5654872129940292,0.07374157253922634,29.39121944385651,0.4,0.3
0.048,0.005527877345663879,0.2187635447965308,1.5707963267948966,1.5652684494492326,0.07530686462829442,29.423848456277494,0.4,0.3
0.049,0.005750765836281224,0.22288849061734467,1.5707963267948966,1.5650455609586154,0.07687154061389305,29.439082299297365,0.4,0.3
0.05,0.005977762772936099,0.2269969366548753,1.5707963267948966,1.5648185640219605,0.07843652720098826,29.471022922992816,0.4,0.3
0.051000000000000004,0.006208851721844355,0.2310889489082558,1.5707963267948966,1.5645874750730522,0.08000109346073829,29.489818220729525,0.4,0.3
0.052000000000000005,0.0064440163149569775,0.23516459311262278,1.5707963267948966,1.5643523104799395,0.08156513003290784,29.50665416102023,0.4,0.3
